             epoch single_multi          MJD       JYear num_frames_all strehl_mean_all strehl_mean_combo strehl_std_all strehl_med_all strehl_mad_all fwhm_mean_all fwhm_std_all fwhm_med_all fwhm_mad_all num_frames_combo strehl_std_combo strehl_med_combo strehl_mad_combo fwhm_mean_combo fwhm_std_combo fwhm_med_combo fwhm_mad_combo      weighted_DIMM       weighted_MASS
     20140806nirc2 single_night 56875.290099 2014.594908            137         0.37516           0.38429        0.05254        0.37800        0.03600      57.66168      4.23702     56.83000      2.31000              126          0.04270          0.39000          0.03000        56.76198        2.92697       56.43500        2.14000 0.9652738494818918 0.16095093860114768
20150331_0402nirc2  multi_night 57113.631874 2015.247452             96         0.23807           0.30538        0.07445        0.23650        0.04900      79.67312     30.95278     73.95500      7.02500               39          0.04156          0.30000          0.02000        65.05436        3.99414       65.62000        3.16000 0.5470113010494551 0.26248938477183337
     20150331nirc2 single_night 57112.613482 2015.244664             59         0.22988           0.27640        0.05024        0.22000        0.03500      76.25627      8.70544     76.41000      5.29000               25          0.03357          0.28000          0.02000        68.32520        4.04396       68.22000        3.35000 0.5066288468956137  0.2886351987820638
     20150401nirc2 single_night 57113.584949 2015.247324             15         0.16953           0.27400        0.09183        0.15100        0.08700     112.76667     65.95157     85.07000     15.88000                5          0.03499          0.25000          0.01000        67.71200        3.65796       69.19000        2.84000 0.7217394091004289 0.18336706137660186
     20150402nirc2 single_night 57114.585827 2015.250064             22         0.30677           0.32824        0.05972        0.30900        0.04200      66.27273      7.36272     64.62500      4.64500               17          0.04232          0.32000          0.03000        63.13118        4.01474       62.95000        3.08000 0.5818286677318322 0.25684542242648634
     20150514nirc2 single_night 57156.532353 2015.364907            100         0.14414           0.19000        0.04020        0.14000        0.03150      96.20090     15.94158     93.36000     11.48000               32          0.02462          0.18500          0.01500        79.69031        4.41729       81.30000        3.01000 0.7110862867207998  0.6671793833243924
20150809_0811nirc2  multi_night 57244.507232 2015.605769            306         0.36229           0.40379        0.07547        0.37100        0.05200      61.79075      7.77920     59.74500      3.91500              203          0.04345          0.40000          0.03000        57.47995        3.21939       57.16000        2.44000               -1.0                -1.0
     20150809nirc2 single_night 57243.297893 2015.602458            106         0.30102           0.34628        0.05929        0.30350        0.04500      67.23726      7.99158     64.99500      4.38000               43          0.03073          0.35000          0.01000        61.83767        2.89039       61.91000        1.54000 0.9200693776935939 0.21224294686084413
     20150810nirc2 single_night 57244.290846 2015.605177            110         0.40158           0.41296        0.05342        0.40200        0.03100      58.17227      5.07591     57.21000      2.47500               98          0.04319          0.41000          0.03000        56.80500        3.17511       56.59000        2.13500 0.6745891575223977 0.32793913383414475
     20150811nirc2 single_night 57245.301944 2015.607945             90         0.38644           0.41423        0.06961        0.40850        0.03250      59.79856      6.64339     57.72500      2.76500               71          0.03368          0.42000          0.02000        56.81831        2.61826       56.43000        1.81000               -1.0                -1.0
     20160503nirc2 single_night 57511.514595 2016.336796            253         0.31601           0.36657        0.08496        0.33300        0.05200      68.37858     14.61939     63.42000      5.17000              166          0.04165          0.36000          0.03000        60.69867        3.52130       60.80500        2.66000 0.5983438363761415 0.24609272587955908
